int_ftse,int_dax,int_nikkei,int_spx
-23.0,-34.0,0.0,1.0
8.0,-13.0,-194.0,0.0
-11.0,0.0,-226.0,0.0
-30.0,-27.0,-153.0,-11.0
-25.0,7.0,0.0,-2.0
0.0,1.0,0.0,-1.0
-28.0,3.0,-167.0,-2.0
-16.0,-10.0,233.0,6.0
21.0,4.0,-317.0,1.0
26.0,29.0,9.0,7.0
-15.0,-3.0,-249.0,9.0
20.0,32.0,130.0,4.0
17.0,6.0,754.0,0.0
-23.0,0.0,92.0,-1.0
36.0,18.0,-231.0,4.0
-11.0,-11.0,62.0,5.0
11.0,23.0,113.0,-1.0
-25.0,-16.0,-133.0,6.0
-17.0,-2.0,-231.0,-2.0
5.0,3.0,71.0,2.0
0.0,0.0,-99.0,0.0
8.0,10.0,245.0,-6.0
15.0,-11.0,77.0,-5.0
-29.0,-13.0,-135.0,4.0
1.0,-12.0,70.0,-2.0
-8.0,20.0,-368.0,-2.0
16.0,7.0,270.0,5.0
-2.0,1.0,23.0,6.0
7.0,8.0,-77.0,-5.0
-54.0,-23.0,-53.0,0.0
22.0,16.0,-32.0,-1.0
27.0,19.0,98.0,-2.0
14.0,-2.0,287.0,-1.0
-8.0,-3.0,-22.0,-2.0
-8.0,-22.0,207.0,-2.0
8.0,5.0,-44.0,0.0
-5.0,6.0,87.0,-3.0
-3.0,-9.0,35.0,-1.0
-26.0,-14.0,70.0,1.0
-5.0,15.0,93.0,4.0
-12.0,15.0,73.0,2.0
-31.0,16.0,-6.0,0.0
16.0,-6.0,69.0,-4.0
-17.0,-21.0,-165.0,4.0
33.0,19.0,29.0,2.0
14.0,3.0,-75.0,5.0
0.0,-8.0,-108.0,-2.0
-11.0,1.0,32.0,-1.0
46.0,12.0,-87.0,0.0
-17.0,-10.0,-60.0,-15.0
-2.0,-7.0,-308.0,-5.0
11.0,1.0,-5.0,2.0
13.0,11.0,-141.0,2.0
-16.0,-12.0,114.0,-11.0
-21.0,-13.0,-236.0,1.0
-30.0,-19.0,97.0,-17.0
-66.0,-54.0,-347.0,-1.0
26.0,22.0,6.0,6.0
35.0,8.0,154.0,9.0
17.0,-7.0,-90.0,-5.0
-29.0,-30.0,-471.0,-5.0
27.0,20.0,158.0,-7.0
-40.0,-29.0,-532.0,0.0
16.0,5.0,252.0,5.0
-11.0,5.0,241.0,4.0
5.0,3.0,-157.0,-5.0
-10.0,-6.0,-87.0,5.0
35.0,25.0,-188.0,4.0
31.0,13.0,292.0,11.0
36.0,16.0,-44.0,12.0
18.0,0.0,137.0,-2.0
0.0,7.0,-333.0,2.0
23.0,14.0,-267.0,2.0
0.0,-7.0,254.0,-2.0
-1.0,-2.0,-180.0,0.0
-7.0,-3.0,115.0,3.0
20.0,16.0,198.0,-5.0
7.0,-1.0,117.0,2.0
7.0,-2.0,-13.0,0.0
35.0,25.0,-134.0,3.0
-9.0,-11.0,272.0,1.0
20.0,6.0,21.0,-1.0
-11.0,-28.0,148.0,0.0
19.0,25.0,88.0,5.0
16.0,3.0,-135.0,-3.0
0.0,-8.0,-345.0,-4.0
-2.0,9.0,27.0,3.0
13.0,-7.0,-201.0,-2.0
-33.0,-8.0,-156.0,-7.0
-18.0,-14.0,-387.0,-6.0
17.0,4.0,-59.0,0.0
-29.0,-10.0,91.0,3.0
17.0,-2.0,3.0,1.0
15.0,6.0,178.0,-6.0
6.0,10.0,-227.0,6.0
17.0,7.0,50.0,8.0
6.0,19.0,357.0,0.0
-11.0,0.0,12.0,4.0
27.0,20.0,-128.0,4.0
35.0,26.0,399.0,9.0
10.0,16.0,0.0,3.0
-5.0,-4.0,468.0,-1.0
-17.0,-5.0,-154.0,-1.0
19.0,4.0,166.0,2.0
-10.0,16.0,-210.0,4.0
-45.0,-17.0,0.0,-1.0
-9.0,19.0,59.0,-1.0
25.0,20.0,179.0,0.0
-2.0,1.0,111.0,0.0
13.0,-5.0,86.0,1.0
7.0,-4.0,9.0,1.0
39.0,-1.0,-94.0,2.0
23.0,31.0,36.0,5.0
-15.0,0.0,-167.0,-2.0
24.0,19.0,-183.0,9.0
7.0,1.0,13.0,2.0
4.0,-3.0,-123.0,-3.0
-26.0,-17.0,-168.0,-4.0
-15.0,-2.0,0.0,-2.0
34.0,9.0,98.0,6.0
10.0,8.0,61.0,3.0
12.0,18.0,400.0,-1.0
-26.0,-13.0,-32.0,2.0
18.0,12.0,26.0,2.0
11.0,10.0,189.0,4.0
20.0,6.0,-310.0,-1.0
-16.0,-12.0,-179.0,-3.0
-29.0,-43.0,-41.0,1.0
-29.0,3.0,-79.0,-5.0
23.0,9.0,-264.0,-2.0
3.0,13.0,146.0,-3.0
-32.0,-28.0,73.0,4.0
-30.0,-11.0,-277.0,-1.0
16.0,7.0,-215.0,5.0
-31.0,-1.0,167.0,-2.0
-20.0,8.0,0.0,3.0
-7.0,38.0,-41.0,8.0
14.0,19.0,399.0,10.0
-35.0,-11.0,-220.0,3.0
10.0,8.0,430.0,3.0
4.0,-2.0,-136.0,1.0
20.0,34.0,141.0,-2.0
-8.0,6.0,-227.0,2.0
0.0,14.0,52.0,4.0
32.0,16.0,-102.0,2.0
4.0,-32.0,-133.0,0.0
16.0,13.0,160.0,5.0
-16.0,-15.0,233.0,1.0
-9.0,-1.0,-46.0,-1.0
65.0,4.0,73.0,6.0
36.0,31.0,77.0,9.0
14.0,8.0,125.0,-2.0
-19.0,-15.0,-73.0,0.0
1.0,36.0,-310.0,0.0
8.0,19.0,-15.0,2.0
-20.0,5.0,-346.0,-1.0
23.0,47.0,-44.0,-8.0
-16.0,-20.0,29.0,-3.0
6.0,14.0,284.0,-1.0
-88.0,-62.0,-667.0,-5.0
48.0,38.0,327.0,10.0
24.0,20.0,219.0,-2.0
-53.0,-54.0,-254.0,-7.0
8.0,10.0,-67.0,-11.0
-18.0,-31.0,-160.0,-1.0
21.0,26.0,81.0,-8.0
-14.0,-33.0,-9.0,6.0
39.0,6.0,-320.0,5.0
33.0,10.0,-523.0,14.0
26.0,11.0,120.0,3.0
10.0,9.0,0.0,-2.0
5.0,0.0,-529.0,5.0
0.0,0.0,388.0,0.0
0.0,0.0,-258.0,4.0
-1.0,15.0,78.0,1.0
24.0,21.0,-8.0,-3.0
3.0,0.0,0.0,-13.0
0.0,0.0,0.0,0.0
-61.0,-60.0,0.0,-3.0
32.0,43.0,0.0,11.0
17.0,27.0,85.0,-1.0
-28.0,-14.0,-550.0,6.0
9.0,28.0,-216.0,-5.0
0.0,32.0,-607.0,6.0
-31.0,-21.0,-770.0,5.0
51.0,41.0,815.0,0.0
